content,polar
  菲 军舰 恶意 撞击 又 他 妈 一个 猴子,-1
  菲 军舰 恶意 撞击 搞 死 它 死 菲 佣,-1
  菲 军舰 恶意 撞击 哇 靠   究竟 还要 忍 多久   我们 的 军队 是 摆设 吗,-1
  菲 军舰 恶意 撞击 很 是 气愤 这 么 小 的 国 家 也 敢 欺负 中国 太 嚣张 了 端 了 它,-1
  菲 军舰 恶意 撞击 肯定 又 是 谴责 了 中国 政府 还 能 干什 么   泱泱 中华 被 人 欺负 的 跟 个 瘪 三 似 的 悲哀,-1
  菲 军舰 恶意 撞击 意外 真T MD意外 连 小小 菲律宾 也 敢 撞 我们 了   尼妈 的 海军 干 嘛 呢   拿 的 烧火棍 吗   外交部 还是 赶紧 谴责 了 事   我 靠 毛 大爷 邓 大爷 快 醒 过 来   瞧瞧 你 的 这 帮 不 孝 的 兔崽子   只 学会 谴责 就 把 国人 糊弄 了 事   可悲,-1
  菲 军舰 恶意 撞击 不 是 ZF无能 也 不 是 人 家 狡诈 是 我们 的 国民 素质 教育 低下 了   你们 都 吃 饱 撑 的   我国 的 国情 都 看 不 懂 吗   我国 发展 到 今天 历时 多少 年   最 基层 农民 是 怎 么 度过 这 和平 年代 的   刚刚 才 可以 吃 饱 饭 你 让 他 还 继续 受苦   别 以为 中国 是 坚不可摧 就 像 你 家 其实 经济 收入 不 咋 滴 硬 买 个 车充 大爷,-1
  菲 军舰 恶意 撞击 跑 到 中国 的 地盘   撞击 中国 的 船   确 是 意外   当 中国 人 都 是 傻子 吗,-1
  菲 军舰 恶意 撞击 中国 人 的 尊严 何在   连 菲律宾 越南 这些 蛮夷 小国 都 敢 欺负 我们 政府 为何 不 能 强硬 一些 学学 我们 的 邻居 俄罗斯 看看 人 家   现今 的 政治 环境 下 政府 是 不 是 应该 调整 一下 对外 政策 了,-1
  菲 军舰 恶意 撞击 麻痹 蛋丸 之 国 也 这 么 嚣张,-1
  菲 军舰 恶意 撞击 怎 么 了   今年 总是 有 这样 的 事情 发生 前段 时间 在 印度 海峡 又 被 欺负 跟着 美国 又 干涉 人民币 现在 又 来 个 菲律宾   老 是 发表 声明 谴责 有 什 么 用   不 能 再 软弱 了   就 连 菲律宾 这样 的 小国 都 敢 在 老虎 头 上 拨毛 太 嚣张 了   一个 字 打,-1
  菲 军舰 恶意 撞击 转向 舵 是 不 会 失效 的 更 不 会 这 么 巧   事故 都 是 人为 的 编 了 个 借口   菲 炮艇 下次 可能 会 炮蛋 走火   知道 中国 政府 财 大 气 粗 胆子 小,-1
  菲 军舰 恶意 撞击 小菲 老鼠 来   你 会 比 它 更 惨 ...,-1
  菲 军舰 恶意 撞击 什 么 意思   平时 不 失控 碰到 我们 就 失控   信 不 信 我们 核弹 失控 炸 你 家 老巢   我 想 吐槽 但 你们 不 是 人 还是 算 了 哼,-1
  菲 军舰 恶意 撞击 要 就 来 真格 的   小样,-1
  菲 军舰 恶意 撞击 菲   不 能 再 让 你 飞一会 了 真是 嚣张 得 不 行,-1
  菲 军舰 恶意 撞击 软弱 的 政府   好战 的 国民   还 用什 么 解放军,-1
  菲 军舰 恶意 撞击 中国 没有 第二 个 邓小平 了 么   TMMD 军委 主席 吃 屎 去 了 么   CTM   滚 下去,-1
  菲 军舰 恶意 撞击 虽说 中国 还 不 够 强大 但 不 要 用 君子 行为 对 小人   要 一 招制 敌让 别人 心 存 敬畏,-1
  菲 军舰 恶意 撞击 当年 小米 加 步枪 都 敢 和 美国 打 现在   越 来 越 差劲 了,-1
  菲 军舰 恶意 撞击 这种 国 家 就是 没有 出息 只 知道 为 别 家 卖 批 到 时候 还要 别 家 数 钱 我 种 国 家 就是 垃圾 国际 的 败类 嗨 真 为 这些 垃圾 叹气,-1
  菲 军舰 恶意 撞击 东亚 病夫   尽情 的 挑衅 中国   我们 国 家 太 懦弱 了,-1
  菲 军舰 恶意 撞击 草   菲律宾 大 裤衩子 都 这 么 嚣张   我们 真 应该 制裁 一下 了,-1
  菲 军舰 恶意 撞击 他 奶奶 的 连 个 小小 的 菲律宾 都 不 把 中国 放在眼里 请问 中国 的 尊严 何在   中国 母亲 你 太 软弱 了   要 不 怎 么 这 么 多 鱼 兵 虾 将 都 敢 欺负 您 呢,-1
  菲 军舰 恶意 撞击 你 真是 无意 吗 我 掀 你 个 耳光 也 说手 不 听 使唤 呢   菲 真 是 一 条 狗,-1
  菲 军舰 恶意 撞击 连 菲 佣 这种 破 国 家 都 欺负 中国   唉   不 争气 的 中国,-1
  菲 军舰 恶意 撞击 打 他 个 狗日 小菲 王菲 也 要 打,-1
  菲 军舰 恶意 撞击 领导人 天天 靠 伟哥 生活 太 久 了 吗   都 挺 不 起 来,-1
  菲 军舰 恶意 撞击 丢脸   没用 的 国 家,-1
  菲 军舰 恶意 撞击 菲律宾 真 贱,-1
  菲 军舰 恶意 撞击 懦弱 的 中国 政府 被 这 小 国 家 骑 到 了 头 上 中国 政府 发展 了 经济 丢失 了 刚 硬,-1
